"id","nom","nom_normalise","producteur_id","ingredients","ingredients_courts","description","description_courte","categorie_id","sous_categorie_id","conservation","date_creation","biologique","arachides","oeufs","gluten","lactose","photo_id","actif","is_noel","is_cru","is_naturel","is_source_de_confiance_vd","is_vegan","is_format_familial","jour_limite","heure_limite","is_commande_speciale","default_unite_mesure_entree_rapide","default_prix_par_unite_mesure_entree_rapide","code_pour_sku","prochain_code_format_pour_sku","date_desactivation","is_balade_gourmande"
217055,Pain de blé aux graines de sésame biologique (sac papier),Pain_de_ble_aux_graines_de_sesame_biologique_sac_papier,169011,"farine de blé intégral biologique, levain biologique(eau, farine intégrale), graines de sésame.sel de mer.","farine de blé intégral biologique, [...]",Pain au levain cuit sur feu de bois. Certifié biologique par Québec Vrai.,Pain au levain cuit sur feu de bois. Certifié biologique par Québec Vrai [...],101147,101142,tablette,"2015-01-02 23:23:15",1,0,0,0,1,181010,0,0,0,0,0,0,0,2,23,0,,,9,2,,0
217059,Bagels au sésame à 87% bio (paquet de 6 en sac plastique),Bagels_au_sesame_a_87_bio_paquet_de_6_en_sac_plastique,169011,"farine blanche non blanchie biologique, eau, levain biologique (eau, farine intégrale), miel, huile de tournesol biologique, farine de malt, oeufs.",farine blanche non blanchie  [...],Bagels au levain cuits sur feu de bois. Certifié biologique par Québec Vrai,Bagels au levain cuits sur feu de bois. Certifié biologique par Québec  [...],101147,101142,tablette,"2015-01-02 23:22:35",1,0,0,0,1,182011,0,0,0,0,0,0,0,2,23,0,,,10,2,,0
218026,Jus de canneberges sucré,Jus_de_canneberges_sucre,189007,"un jus à base de canneberges, eau, sucre brun de canne et acide ascorbique","un jus à base de canneberges, [...]",La canneberge est efficace contre l'inflammation du système urinaire.,,103026,96173,congelo,"2019-10-12 22:46:56",0,0,0,0,0,409026,0,0,0,0,0,0,0,2,20,0,,,8,2,"2020-10-30 15:57:48",0
218040,Bifteak Sot-l'y-laisse,Bifteak_Sot_ly_laisse,167004,autruche,,"Le bifteak est pris à partir du rôti sot-l'y-laisse. Il est très tendre, mais il contient 2 petits filaments de gras faciles à contourner. La viande d’autruche est une viande rouge à saveur douce. De plus, elle est extrêmement maigre, ne contenant que 2 à 3% de gras. Elle contient beaucoup de protéines, de fer, de phosphore, etc. et très peu de cholestérol. Pour obtenir le maximum de tendreté et avoir un goût à sa pleine mesure, elle ne doit pas être trop cuite.","Le bifteak est pris à partir du rôti sot-l'y-laisse. Il est très tendre,  [...]",101153,219025,congelo,"2014-12-31 16:37:54",0,1,1,1,1,803140,0,0,0,0,0,0,0,3,7,0,,,12,2,,0
218042,Cubes à brochette ou à fondue(filet mignon),Cubes_a_brochette_ou_a_fonduefilet_mignon,167004,autruche,,"La viande d’autruche est une viande rouge à saveur douce. De plus, elle est extrêmement maigre, ne contenant que 2 à 3% de gras. Elle contient beaucoup de protéines, de fer, de phosphore, etc. et très peu de cholestérol. Pour obtenir le maximum de tendreté et avoir un goût à sa pleine mesure, elle ne doit pas être trop cuite.","La viande d’autruche est une viande rouge à saveur douce. De plus, elle  [...]",101153,219025,congelo,"2016-03-29 19:04:42",0,1,1,1,1,215028,0,0,0,0,0,0,0,3,7,0,,,13,2,,0
218046,Savon (huile d'autruche et lait de chèvre) naturel,Savon_huile_dautruche_et_lait_de_chevre_naturel,167004," huile d’autruche, huile de canola, lait de chèvre, huile d’olive, eau distillée, hydroxyde de sodium."," huile d’autruche, huile  [...]","CELUI-CI SANS AROME,  +/- 100g la barre de savon.

Ensemble, l’huile d’autruche et le lait de chèvre agiront comme émollients, lubrifiants et adoucissants pour la peau très efficacement.","CELUI-CI SANS AROME,  +/- 100g la barre de savon.

Ensemble, l’huile  [...]",101152,101149,tablette,"2012-03-03 20:54:57",0,1,1,0,0,181013,0,0,0,0,0,0,0,3,7,0,,,14,2,,0
218049,Crème hydratante pour mains et corps,Creme_hydratante_pour_mains_et_corps,167004,"aqua, ostrich oil, glycerin, cetyl alcohol, stearic acid, cetearyl alcohol, polysorbate 20, peg 150, steareth-20, xanthan gum, propylene glycol, diazolidinyl urea, iodopropynyl butylcarbamate, fragrance.","aqua, ostrich oil, glycerin, [...]","PS: NOUS SOMMES RENDUS AVEC 3 PARFUMS DIFFÉRENTS, ALORS SI VOUS AVEZ UNE PRÉFÉRENCE, SVP VEUILLEZ ME CONTACTER.

La crème est un très bon hydratant aromatisé, ce qui donne une sensation de fraicheur et de douceur tout en maintenant un effet bénéfique pour la peau à un coût très abordable. ","PS: NOUS SOMMES RENDUS AVEC 3 PARFUMS DIFFÉRENTS, ALORS SI VOUS AVEZ UNE  [...]",101152,101150,tablette,"2012-03-03 21:03:58",0,1,1,0,0,182010,0,0,0,0,0,0,0,3,7,0,,,15,2,,0
218051,Crème de protection solaire ,Creme_de_protection_solaire,167004,"aqua, ostrich oil, octyl methoxycinnamate, glycerin, titanium oxyde, tocopheryl acetate, cetyl alcohol, stearic acid, cetearyl alcohol, polysorbate 20, peg-150, steareth-20, xanthan gum, ascorbic acid, allantoin, tetrasodium edta, propylene glycol, diazolidinyl urea, iodopropynyl butylcarbamate..","aqua, ostrich oil, octyl  [...]","Crème protectrice pour le soleil.  Appliquer au besoin selon la protection désirée. Peut aussi être utilisée comme après-soleil. Elle est constituée presque majoritairement d'huile d'autruche, ce qui fait qu'elle hydrate très bien la peau...
(nous avons 3 parfums différents: crème brulée, pina colada et noix de coco. Alors si vous avez une préférence, veuillez me contacter.)

PS: suite des ingrédients: ...alumina, simethicone, fragrance.",Crème protectrice pour le soleil.  Appliquer au besoin selon la protection  [...],101152,101150,tablette,"2013-12-11 04:00:26",0,1,1,0,0,186007,0,0,0,0,0,0,0,3,7,0,,,16,2,,0
218062,"Pain de blé aux graines de sésame bio (tranché, sac plast.) ",Pain_de_ble_aux_graines_de_sesame_bio_tranche_sac_plast,169011,"farine de blé intégral biologique, levain biologique(eau, farine intégrale), graines de sésame.sel de mer.","farine de blé intégral biologique, [...]",Pain au levain cuit sur feu de bois. Certifié biologique par Québec Vrai.,Pain au levain cuit sur feu de bois. Certifié biologique par Québec Vrai [...],101147,101142,tablette,"2015-01-02 23:23:14",1,0,0,0,1,181010,0,0,0,0,0,0,0,2,23,0,,,11,2,,0
218063,Pain miche multi-grains biologique (sac papier),Pain_miche_multi_grains_biologique_sac_papier,169011,"farine de blé intégral biologique, levain biologique(eau, farine intégrale), mélange de 9 grains concassés, sel de mer.","farine de blé intégral biologique, [...]",Pain au levain cuit sur feu de bois. Certifié biologique par Québec Vrai.,Pain au levain cuit sur feu de bois. Certifié biologique par Québec Vrai [...],101147,101142,tablette,"2015-01-02 23:23:25",1,0,0,0,1,180008,0,0,0,0,0,0,0,2,23,0,,,12,2,,0
